Policy,Time Step,X,Y,Heading
random_walk,0,5,6,S
random_walk,1,5,5,N
random_walk,2,4,5,W
random_walk,3,4,6,S
random_walk,4,3,6,W
random_walk,5,4,6,E
random_walk,6,4,7,S
random_walk,7,4,6,N
random_walk,8,5,6,E
random_walk,9,6,6,E
random_walk,10,5,6,W
random_walk,11,4,6,W
random_walk,12,4,7,S
random_walk,13,3,7,W
random_walk,14,3,8,S
random_walk,15,3,7,N
random_walk,16,2,7,W
random_walk,17,2,8,S
random_walk,18,2,7,N
random_walk,19,1,7,W
random_walk,20,1,8,S
random_walk,21,1,9,S
random_walk,22,1,9,S
random_walk,23,1,8,N
random_walk,24,1,7,N
random_walk,25,1,6,N
random_walk,26,1,7,S
random_walk,27,0,7,W
random_walk,28,0,8,S
random_walk,29,0,7,N
random_walk,30,1,7,E
random_walk,31,1,8,S
random_walk,32,2,8,E
random_walk,33,2,7,N
random_walk,34,1,7,W
random_walk,35,2,7,E
random_walk,36,1,7,W
random_walk,37,0,7,W
random_walk,38,0,7,W
random_walk,39,0,6,N
random_walk,40,1,6,E
random_walk,41,2,6,E
random_walk,42,2,5,N
random_walk,43,1,5,W
random_walk,44,0,5,W
random_walk,45,0,6,S
random_walk,46,0,5,N
random_walk,47,0,6,S
random_walk,48,0,5,N
random_walk,49,0,4,N
straight_until_obstacle,0,7,5,E
straight_until_obstacle,1,8,5,E
straight_until_obstacle,2,9,5,E
straight_until_obstacle,3,9,5,E
straight_until_obstacle,4,9,5,E
straight_until_obstacle,5,8,5,W
straight_until_obstacle,6,7,5,W
straight_until_obstacle,7,6,5,W
straight_until_obstacle,8,5,5,W
straight_until_obstacle,9,4,5,W
straight_until_obstacle,10,3,5,W
straight_until_obstacle,11,2,5,W
straight_until_obstacle,12,1,5,W
straight_until_obstacle,13,0,5,W
straight_until_obstacle,14,0,5,W
straight_until_obstacle,15,0,4,N
straight_until_obstacle,16,0,3,N
straight_until_obstacle,17,0,2,N
straight_until_obstacle,18,0,1,N
straight_until_obstacle,19,0,0,N
straight_until_obstacle,20,1,0,E
straight_until_obstacle,21,2,0,E
straight_until_obstacle,22,3,0,E
straight_until_obstacle,23,4,0,E
straight_until_obstacle,24,5,0,E
straight_until_obstacle,25,6,0,E
straight_until_obstacle,26,7,0,E
straight_until_obstacle,27,8,0,E
straight_until_obstacle,28,9,0,E
straight_until_obstacle,29,9,0,N
straight_until_obstacle,30,9,0,N
straight_until_obstacle,31,9,1,S
straight_until_obstacle,32,9,2,S
straight_until_obstacle,33,9,3,S
straight_until_obstacle,34,9,4,S
straight_until_obstacle,35,9,5,S
straight_until_obstacle,36,9,6,S
straight_until_obstacle,37,9,7,S
straight_until_obstacle,38,9,8,S
straight_until_obstacle,39,9,9,S
straight_until_obstacle,40,9,9,E
straight_until_obstacle,41,9,8,N
straight_until_obstacle,42,9,7,N
straight_until_obstacle,43,9,6,N
straight_until_obstacle,44,9,5,N
straight_until_obstacle,45,9,4,N
straight_until_obstacle,46,9,3,N
straight_until_obstacle,47,9,2,N
straight_until_obstacle,48,9,1,N
straight_until_obstacle,49,9,0,N
